Wave	Flux
4145.054558	23.08139106
4145.828933	31.66515412
4146.603309	28.23856704
4147.377684	35.01495767
4148.152059	30.01778092
4148.926434	28.41064178
4149.70081	26.06843951
4150.475185	35.38884066
4151.24956	28.81292155
4152.023935	27.6668595
4152.79831	44.9452146
4153.572686	29.18343758
4154.347061	21.17586471
4155.121436	41.22454032
4155.895811	35.48356012
4156.670187	34.23715908
4157.444562	23.60493947
4158.218937	22.60117896
4158.993312	30.62720524
4159.767687	29.14543757
4160.542063	26.13225815
4161.316438	32.04337286
4162.090813	28.18794094
4162.865188	21.52751176
4163.639564	34.71501007
4164.413939	32.73795311
4165.188314	22.72736569
4165.962689	20.97988378
4166.737064	24.20519996
4167.51144	33.59999178
4168.285815	32.21244858
4169.06019	21.42649117
4169.834565	26.55013126
4170.608941	25.86316107
4171.383316	28.15869183
4172.157691	23.86060843
4172.932066	30.35568354
4173.706441	29.01452069
4174.480817	24.67344507
4175.255192	30.35991076
4176.029567	37.13575082
4176.803942	33.53460613
4177.578317	28.75814234
4178.352693	36.06026515
4179.127068	37.86233039
4179.901443	49.30692077
4180.675818	41.07706924
4181.450194	36.71752301
4182.224569	38.90343976
4182.998944	45.02722857
4183.773319	42.67028263
4184.547694	39.12578856
4185.32207	32.77658311
4186.096445	27.95852206
4186.87082	32.44694965
4187.645195	30.94348999
4188.419571	31.14716965
4189.193946	21.4346293
4189.968321	18.8689943
4190.742696	16.09900069
4191.517071	35.33378617
4192.291447	29.77221019
4193.065822	25.55928006
4193.840197	23.19260648
4194.614572	24.78412051
4195.388948	22.15372322
4196.163323	34.76208922
4196.937698	29.4067287
4197.712073	24.4361329
4198.486448	22.34877902
4199.260824	20.19629361
4200.035199	31.19270297
4200.809574	42.98387011
4201.583949	34.2172141
4202.358325	14.93159209
4203.1327	20.00764613
4203.907075	34.3870892
4204.68145	34.37135292
4205.455825	23.4229068
4206.230201	34.75863756
4207.004576	29.98127645
4207.778951	23.05648299
4208.553326	35.87481258
4209.327702	32.96356563
4210.102077	28.86949541
4210.876452	30.10987987
4211.650827	24.64565445
4212.425202	22.06877773
4213.199578	35.91790538
4213.973953	20.96413162
4214.748328	23.56044642
4215.522703	17.44663805
4216.297078	16.87386643
4217.071454	35.00563237
4217.845829	30.81573095
4218.620204	28.19829856
4219.394579	17.92554915
4220.168955	20.87623872
4220.94333	14.26676916
4221.717705	22.62704788
4222.49208	23.38666173
4223.266455	16.64160867
4224.040831	26.38819445
4224.815206	32.1340848
4225.589581	33.12483541
4226.363956	22.88161039
4227.138332	21.03285378
4227.912707	17.72472558
4228.687082	34.29672932
4229.461457	23.42122067
4230.235832	19.27333739
4231.010208	30.75690716
4231.784583	21.61880603
4232.558958	20.16546161
4233.333333	32.58026999
4234.107709	28.00308129
4234.882084	28.00031255
4235.656459	28.30017016
4236.430834	15.55197887
4237.205209	31.81928235
4237.979585	13.23137858
4238.75396	18.86824653
4239.528335	19.31476127
4240.30271	20.57417353
4241.077086	26.76016367
4241.851461	12.64947092
4242.625836	22.9241738
4243.400211	26.44595151
4244.174586	25.34156613
4244.948962	24.75188561
4245.723337	27.27347358
4246.497712	22.94491817
4247.272087	19.68060009
4248.046463	16.25409242
4248.820838	17.75393763
4249.595213	27.69740827
4250.369588	19.04475364
4251.143963	20.15157291
4251.918339	19.4441707
4252.692714	28.31100953
4253.467089	28.10635578
4254.241464	19.74513209
4255.015839	19.81564891
4255.790215	16.46458408
4256.56459	13.06122158
4257.338965	26.0157223
4258.11334	28.19315019
4258.887716	24.71643993
4259.662091	29.45603396
4260.436466	24.10801881
4261.210841	18.02469965
4261.985216	27.52721818
4262.759592	16.19849926
4263.533967	23.8217402
4264.308342	7.2135
4265.082717	26.19017932
4265.857093	27.06330353
4266.631468	30.88005516
4267.405843	26.29240031
4268.180218	23.94413646
4268.954593	20.23789748
4269.728969	25.52260618
4270.503344	24.40246335
4271.277719	25.92570916
4272.052094	16.31219888
4272.82647	9.535457522
4273.600845	33.22520352
4274.37522	42.52795462
4275.149595	34.04132506
4275.92397	22.21025473
4276.698346	16.33105727
4277.472721	30.47044327
4278.247096	22.6021954
4279.021471	24.56855857
4279.795847	16.63416801
4280.570222	19.36979724
4281.344597	24.257896
4282.118972	25.31625043
4282.893347	28.75481244
4283.667723	27.87564783
4284.442098	27.75260041
4285.216473	30.48032444
4285.990848	24.03546514
4286.765224	31.84908997
4287.539599	18.63014292
4288.313974	23.32690885
4289.088349	30.11466561
4289.862724	31.78203408
4290.6371	28.52851965
4291.411475	24.57124525
4292.18585	26.72992195
4292.960225	18.84277995
4293.7346	26.73490356
4294.508976	21.07770418
4295.283351	19.85576518
4296.057726	27.33078859
4296.832101	19.46943346
4297.606477	23.12232922
4298.380852	24.29905121
4299.155227	19.13953265
4299.929602	23.28426868
4300.703977	30.82045316
4301.478353	24.63775057
4302.252728	28.86294149
4303.027103	21.20768933
4303.801478	20.15843917
4304.575854	28.68215025
4305.350229	25.56048709
4306.124604	39.280785
4306.898979	30.36712907
4307.673354	25.90575095
4308.44773	26.43311366
4309.222105	18.68958346
4309.99648	18.68886613
4310.770855	31.10354746
4311.545231	25.71202657
4312.319606	20.73317088
4313.093981	17.95440783
4313.868356	21.74337017
4314.642731	24.96052836
4315.417107	22.9759831
4316.191482	27.63404492
4316.965857	23.80756299
4317.740232	24.23470847
4318.514608	26.62785977
4319.288983	31.58749179
4320.063358	23.32036287
4320.837733	25.9336898
4321.612108	19.66273299
4322.386484	22.55715442
4323.160859	26.11107438
4323.935234	23.65935075
4324.709609	20.89290938
4325.483985	21.35456484
4326.25836	17.30271391
4327.032735	24.15318155
4327.80711	26.57250882
4328.581485	26.43122372
4329.355861	17.4513179
4330.130236	26.02328736
4330.904611	32.59397075
4331.678986	16.49140723
4332.453361	23.02140524
4333.227737	20.84215093
4334.002112	20.5061912
4334.776487	31.91352006
4335.550862	25.1947912
4336.325238	29.79248604
